timestamp,proc_count,working_set_mb,private_mb
16:01:39,1,13.6,1.9
16:01:41,1,13.6,1.9
16:01:42,1,13.6,1.9
16:01:43,1,13.6,1.9
16:01:45,7,314,151.4
16:01:46,7,314.2,150.3
16:01:48,3,150.7,38
16:01:49,1,26.6,4.6
16:01:50,1,26.6,4.6
16:01:52,1,26.6,4.6
16:01:53,1,26.6,4.6
16:01:54,1,26.6,4.6
16:01:56,7,315.5,152
16:01:57,1,27,4.9
16:01:59,6,233.2,80.2
16:02:00,5,227.3,111.9
16:02:01,3,138.4,41.2
16:02:03,3,147.4,39.6
16:02:04,3,131.8,38.7
16:02:06,5,211.4,104.8
16:02:07,3,142,43.9
16:02:09,3,50.8,8.4
16:02:10,3,128.6,38.9
16:02:12,7,314.8,149.4
16:02:13,1,27.2,5.2
16:02:15,6,265.7,128.7
16:02:16,1,27.2,5.2
16:02:17,7,311.1,153.5
16:02:19,1,27.2,5.2
16:02:20,7,315.8,153.5
16:02:22,1,27.3,5.4
16:02:23,7,318.7,156.4
16:02:24,1,27.5,5.6
16:02:26,7,318.7,154.1
16:02:27,3,149.9,42.8
16:02:29,7,312.7,152.5
16:02:30,7,277.9,129.7
16:02:31,5,207.8,71.2
16:02:33,6,262.7,126.9
16:02:34,3,136.6,42.7
16:02:36,4,147.7,44.6
16:02:37,3,83.5,23.9
16:02:39,7,278.8,133.3
16:02:40,1,27.4,5.3
16:02:41,7,315.6,152.7
16:02:43,1,27.3,5.2
16:02:44,7,316,154.6
16:02:46,1,27.5,5.6
16:02:47,7,315.2,153.7
16:02:48,1,27.5,5.6
16:02:50,7,316.1,153.6
16:02:51,1,27.5,5.5
16:02:53,7,319.8,156.1
16:02:54,1,27.4,5.6
16:02:55,1,27.4,5.6
16:02:57,1,27.4,5.6
16:02:58,1,27.5,5.6
16:03:00,7,315.3,153.5
16:03:01,7,327.8,157.7
16:03:02,7,328.3,157.8
16:03:04,7,328.4,157.9
16:03:05,7,328.4,157.8
16:03:07,7,325.9,155.1
16:03:08,7,325.6,154.8
16:03:09,7,325.8,154.9
16:03:11,7,325.6,154.7
16:03:12,7,325.6,154.7
16:03:13,7,325.6,154.7
16:03:15,7,325.6,154.7
16:03:16,7,325.7,154.7
16:03:18,7,325.9,154.8
16:03:19,7,325.9,154.8
16:03:20,7,325.9,154.8
16:03:22,7,326.2,154.8
16:03:23,7,326.2,154.8
